datetime,co2,temperature
1975,329.4881818181817,14.083814652777773
1976,331.1051923076923,14.145793819444439
1977,332.08163461538476,14.054564652777774
1978,333.83057692307705,14.34098131944444
1979,335.4118867924528,14.230064652777772
1980,336.9022115384615,14.333397986111105
1981,338.7561538461538,14.407939652777774
1982,340.1203846153845,14.458939652777772
1983,341.4387499999999,14.293877152777776
1984,343.0608653846154,14.472252152777775
1985,344.6447169811321,14.292127152777773
1986,346.1263461538462,14.272627152777773
1987,347.4348076923077,14.341314652777772
1988,349.213846153846,14.482335486111106
1989,351.5740384615385,14.513627152777776
1990,353.12924528301875,14.411377152777773
1991,354.3978846153845,14.587397986111107
1992,355.64557692307693,14.54643965277777
1993,356.44692307692316,14.378085486111107
1994,357.1155769230769,14.41073131944444
1995,358.8373076923078,14.475064652777773
1996,360.8316981132075,14.604460486111106
1997,362.62,14.478689652777774
1998,363.74269230769227,14.649043819444438
1999,366.72423076923076,14.795252152777776
2000,368.36326923076916,14.568064652777773
2001,369.5775471698113,14.567502152777774
2002,371.16634615384606,14.711897986111106
2003,373.30230769230764,14.779502152777773
2004,375.8076923076923,14.781647986111105
2005,377.545,14.70835631944444
2006,379.81682692307703,14.834335486111106
2007,381.89169811320767,14.794939652777774
2008,383.84903846153856,14.79429381944444
2009,385.632403846154,14.687668819444438
2010,387.4523076923078,14.803210486111107
2011,389.8798076923077,14.871356319444441
2012,391.6557692307693,14.742460486111106
2013,393.867358490566,14.781210486111107
2014,396.5567307692306,14.81798131944444
2015,398.6855769230769,14.880585486111105
2016,400.84153846153845,15.048252152777776
2017,404.25826923076914,15.135606319444438
2018,406.57094339622654,15.032502152777774
2019,408.5536538461539,14.956752152777772
2020,411.47307692307675,15.091863895202016
